ds,yhat,yhat_lower,yhat_upper
2025-01-01,77473.55437869154,71802.05919984629,83254.24471955703
2025-01-02,77554.76943925723,71889.12167638165,83217.60519006327
2025-01-03,77680.49576460833,72328.32106926612,83431.14269899412
2025-01-04,77794.23234860148,71903.96300671727,83129.83335451545
2025-01-05,77888.81608895853,72324.27389546989,83144.57857827168
2025-01-06,78022.87495743862,72271.9776994197,83871.94260527732
2025-01-07,78044.97047598741,72281.38335846609,83736.78400863796
2025-01-08,78150.08674178057,72703.69890638231,83391.16342296696
2025-01-09,78148.24115909732,71955.60898105764,83095.22875543834
2025-01-10,78188.63873621623,72325.64017282476,83438.02198197627
2025-01-11,78216.57817018591,73229.46536722103,83941.64984203166
2025-01-12,78226.78142254657,72414.28354740678,83732.17796693195
2025-01-13,78279.8036827347,72627.18981648578,83942.76274006098
2025-01-14,78226.13036729953,72851.587925242,83568.61423576066
2025-01-15,78262.61955009065,72848.72428720423,83936.19738479951
2025-01-16,78201.0661845535,72282.73136456175,83985.18524024742
2025-01-17,78192.31119819047,72638.97973694559,83808.98941111934
2025-01-18,78183.10488936739,72261.5458275931,84094.02266858892
2025-01-19,78169.39748916344,72452.12002962067,83484.31801938674
2025-01-20,78212.71486466881,72974.57613249958,83904.28976902763
2025-01-21,78164.22698113749,72626.71132886733,83788.16005761792
2025-01-22,78221.16834943417,72587.36791024575,83908.81959682467
2025-01-23,78195.38748894192,72537.42822303264,83870.95841021636
2025-01-24,78237.44897282684,72707.64429635007,84144.46380356043
2025-01-25,78293.49777532672,72744.53037817094,83823.1332618351
2025-01-26,78358.55886596387,73040.5977879195,83925.31639651545
2025-01-27,78492.92989767267,72970.841897698,83923.24911532614
2025-01-28,78546.27426665157,73145.0231484219,84299.11695214851
2025-01-29,78714.07322770068,73399.626981584,84533.58824497557
2025-01-30,78806.21336221574,73195.02189647082,84928.56080595717
2025-01-31,78971.13206042572,73320.24987534397,84370.36883144897
2025-02-01,79152.7296827374,73584.59038016816,84923.824799519
2025-02-02,79343.72016782276,73702.11410219358,84945.49611965017
2025-02-03,79602.07666525294,74335.74348049413,84887.09338078614
2025-02-04,79775.17814260795,74095.53409381903,84970.09526182538
2025-02-05,80056.31429920653,74122.08629527503,85624.96880609209
2025-02-06,80253.3237441526,74511.4906751017,85837.95435474743
2025-02-07,80512.78680859072,74591.80036293626,86345.27716787744
2025-02-08,80776.9804476913,75364.57349661134,86386.34871467297
2025-02-09,81037.26590550074,75800.1663688752,86591.08750097123
2025-02-10,81350.56477027285,75387.17214596999,87207.8579544771
2025-02-11,81563.52859008896,75429.66897020525,87125.2714745638
2025-02-12,81869.05879204707,76099.69271824964,87538.08619473355
2025-02-13,82074.95148119166,76624.86100022042,87620.83929062673
2025-02-14,82328.08832549627,76891.46889216373,88090.0374425196
2025-02-15,82571.38104142484,76663.57040960768,88713.1677684169
2025-02-16,82797.14043352833,77065.05793735548,87976.0186977195
2025-02-17,83063.5261100448,77350.66826137966,89046.84323627561
2025-02-18,83218.68273963584,77882.3254316642,88934.0714495778
2025-02-19,83457.22047033487,77912.81342223454,89053.09788065018
2025-02-20,83588.81512373748,77590.82570067611,89466.99407003965
2025-02-21,83762.35053891345,78246.62160742673,89268.14095007311
2025-02-22,83922.81184880725,78324.95689224533,89407.7366932152
2025-02-23,84064.6019768945,78220.88996533636,89896.22559413641
2025-02-24,84247.93884079959,78692.04271132113,90160.39197808717
2025-02-25,84322.94048657156,78261.35299356312,89650.77157098275
2025-02-26,84486.05709089997,78630.73357056324,89722.77194798095
2025-02-27,84548.62668301558,78576.79885026457,90049.84336763603
2025-02-28,84660.97808908737,78713.67290906978,90564.50447834049
2025-03-01,84769.29086999297,78798.20782717032,90595.9139557983
2025-03-02,84868.88536217039,79544.13341111066,90928.2192080885
2025-03-03,85020.60094261247,79345.1410192686,89990.15341356279
2025-03-04,85074.87017230995,79396.4775433036,90708.15165838297
2025-03-05,85228.1479715998,79259.35684633089,91094.30807619402
2025-03-06,85291.47267621371,79083.84224002606,91062.1130626707
2025-03-07,85414.5822559483,79806.91949162648,90844.63607345794
2025-03-08,85542.79503520534,79980.20031576413,91564.58792664757
2025-03-09,85670.32739561427,79904.7412473666,91510.81837957303
2025-03-10,85856.70577267198,80064.14351570791,91683.33603727543
2025-03-11,85950.87963501553,80040.30030571623,91494.20749029623
2025-03-12,86147.69350474511,80678.00865958758,92095.74332852534
2025-03-13,86256.49367385152,80477.40875397193,91927.62695452462
2025-03-14,86425.29163939692,80947.86144470055,92327.67527720203
2025-03-15,86597.69230668132,80597.81590800577,92356.2484267976
2025-03-16,86766.25815530651,80957.10578102834,92441.027132013
2025-03-17,86988.9654345822,81518.35203955128,92640.76507886827
2025-03-18,87113.35790499431,81603.23446884836,93064.89331750793
2025-03-19,87333.05511745953,81661.6138087071,93298.56314455174
2025-03-20,87456.38995232707,81317.42459179608,92932.56461195911
2025-03-21,87630.59666592126,81761.32232270918,93766.21790375814
2025-03-22,87798.75689725974,81722.10317389535,93934.54652553277
2025-03-23,87953.17442649002,81935.50415741264,94133.34596556229
2025-03-24,88151.83455087784,82121.36325302982,93818.52801767403
2025-03-25,88242.5536010267,82221.17243633201,93711.24032105382
2025-03-26,88419.47579961718,82377.15150577795,94595.99035754039
2025-03-27,88491.69259220503,82656.04397414008,94798.46004706842
2025-03-28,88607.40628935497,82090.78273437994,94402.34319545783
2025-03-29,88710.84623008512,82619.88534480098,94551.6088819198
2025-03-30,88795.60915873008,82830.64265509052,94996.13914935813
2025-03-31,88921.08069844506,83117.13097131319,94660.6387270708
2025-04-01,88936.54454874281,82975.6251958644,95265.99442235686
2025-04-02,89037.63776965163,82807.1859729842,95375.68742385914
2025-04-03,89034.92846491712,83006.77790751141,94846.68622164147
2025-04-04,89078.03887554265,83232.84973546368,95341.10533642254
2025-04-05,89112.52322198819,83324.78787985542,95485.8161461585
2025-04-06,89133.1730404018,83008.47967363811,95343.15807851314
2025-04-07,89200.40784533418,82898.36255498164,95167.12073433773
2025-04-08,89164.35856564435,82783.50458914386,95423.15044781656
2025-04-09,89221.30278365528,82934.50924007436,95618.23102152767
2025-04-10,89182.22858807365,82905.86806464217,95527.13229156527
2025-04-11,89196.95036815197,83077.13953487414,95287.38580099358
2025-04-12,89210.98601432405,82922.05132691073,95471.9743003001
2025-04-13,89218.86820648424,82843.47769658094,95582.88476163358
2025-04-14,89280.547370543,82914.6610092161,95143.31073080304
2025-04-15,89245.49331942179,82964.39562848318,96040.60408282072
2025-04-16,89309.15401310456,82968.11262699701,95628.91081178021
2025-04-17,89281.54750637783,82782.30600481082,95670.3259773934
2025-04-18,89311.40954589986,82896.97379670081,95570.66110309472
2025-04-19,89343.10531782685,83026.25230046258,96111.66918804268
2025-04-20,89369.97699348282,82662.28913329737,95259.65355460792
2025-04-21,89450.78358049178,82620.63832427851,95944.16689357886
2025-04-22,89433.83901391028,82563.01232802974,95561.69514780497
2025-04-23,89513.50586305607,83281.60563673146,96408.70409874571
2025-04-24,89498.81971663845,83021.88060484147,96025.86550077368
2025-04-25,89537.66578318526,83349.3244119624,96101.76779583732
2025-04-26,89573.71539067196,82245.63366326182,95682.02353871947
2025-04-27,89599.793345484,82892.66979674727,96205.28272818755
2025-04-28,89674.33211952982,82840.57462804359,95832.12372412859
2025-04-29,89645.51842456151,82668.51824799468,95969.47811443103
2025-04-30,89707.78934660333,82941.26235248773,96156.35854492254
2025-05-01,89670.45307757889,82831.41759091555,95948.37234971637
2025-05-02,89681.8559322886,82843.31940768973,95754.60287976133
2025-05-03,89686.30365687705,83263.8909601594,96066.92546528348
2025-05-04,89677.40847170587,82861.29653399473,96177.55171870084
